name,λeff,Δλ,power,luminosity,flux,fλ,Δν,Jy,ABmag
U,3.663e-07,6.5e-08,16124.864770279377,0.35107453199069405,4.4700197727994165e-13,6.876953496614487e-06,146383651929425.22,0.30536331850461773,10.187957833456172
B,4.361e-07,8.9e-08,68900.16493158054,1.5001113809041373,1.91000113167442e-12,2.1460686872746294e-05,141769974085423.53,1.3472536367422545,8.576376588517148
V,5.448000000000001e-07,8.4e-08,171597.66529724654,3.7360666829259133,4.756907842468799e-12,5.662985526748571e-05,85352179370169.16,5.573270509986946,7.034724692671946
R,6.407000000000001e-07,1.58e-07,513889.72619553265,11.188533838215669,1.4245683730423682e-11,9.016255525584608e-05,117171465906375.19,12.157980290019218,6.18784641252511
I,7.98e-07,1.54e-07,728981.4635769131,15.871564183711403,2.0208303155503622e-11,0.00013122274776301054,73180960621359.22,27.614153987485995,5.297170644200044
u',3.596e-07,5.7e-08,11852.521419436822,0.2580560190438338,3.2856712820353944e-13,5.764335582518236e-06,132981961668299.98,0.24707646366587083,10.417921558053656
g',4.639e-07,1.28e-07,143776.317516039,3.130333438598771,3.9856643222307555e-12,3.113800251742777e-05,181772259810548.4,2.192669181966931,8.04756721843956
r',6.122e-07,1.1500000000000001e-07,338172.8305065229,7.362782255443922,9.374585526905555e-12,8.151813501657004e-05,92806859858492.97,10.101177371154925,6.3890700071287725
i',7.439e-07,1.23e-07,540041.8030055519,11.75792330333446,1.4970652913768528e-11,0.00012171262531519129,67092684778536.21,22.31339074175465,5.528586073333289
z',8.896e-07,1.07e-07,559018.9932266666,12.171099368392447,1.5496725018738427e-11,0.0001448292057826021,40680708901499.51,38.093547131296944,4.947871463869833
J,1.2549999999999998e-06,2.9e-07,1302142.7970782374,28.350574071907396,3.6097072024295884e-11,0.00012447266215274443,55945825495495.5,64.521475381934,4.375739275909694
H,1.6499999999999999e-06,2.8e-07,823611.2430622535,17.93186707731656,2.283156227377399e-11,8.15412938349071e-05,31056231543897.305,73.51684714709212,4.234032816078156
Ks,2.1549999999999997e-06,1.55e-07,234914.78154557612,5.1146225511806485,6.512139688557445e-12,4.20138044423061e-05,10018896751980.574,64.9985706986161,4.367740483182434
