name,λeff,Δλ,power,luminosity,flux,fλ,Δν,Jy,ABmag
U,3.663e-07,6.5e-08,105352817.52034041,33.58515135314039,4.758980435017447e-31,7.321508361565303e-24,146383651929425.22,3.251032729605528e-19,55.119946645611016
B,4.361e-07,8.9e-08,117869368.55886698,37.57527018377404,5.32437605431111e-31,5.9824450048439435e-24,141769974085423.53,3.7556443729776703e-19,54.9632888459706
V,5.448000000000001e-07,8.4e-08,73699759.8003946,23.494555208345094,3.3291536307308234e-31,3.963278131822409e-24,85352179370169.16,3.900490479911955e-19,54.922201944404456
R,6.407000000000001e-07,1.58e-07,98213251.461335,31.309147613220038,4.436473111634648e-31,2.8078943744523084e-24,117171465906375.19,3.7863084474675533e-19,54.95446002401783
I,7.98e-07,1.54e-07,50419297.25048624,16.073036954608483,2.277532341420931e-31,1.4789171048187863e-24,73180960621359.22,3.1121924638362715e-19,55.16733388316036
u',3.596e-07,5.7e-08,94040821.58227381,29.97902951769231,4.247996783917065e-31,7.452625936696605e-24,132981961668299.98,3.194415791904877e-19,55.139021389578595
g',4.639e-07,1.28e-07,154860392.26065075,49.367542654248325,6.995328594655536e-31,5.465100464574637e-24,181772259810548.4,3.848402722146051e-19,54.936798717070154
r',6.122e-07,1.1500000000000001e-07,77792205.80174457,24.7991754510202,3.5140169396596964e-31,3.0556669040519097e-24,92806859858492.97,3.7863762926767325e-19,54.95444056935876
i',7.439e-07,1.23e-07,48770912.828204036,15.54755276146084,2.203071786879862e-31,1.7911152738860667e-24,67092684778536.21,3.283624428135349e-19,55.109116305279166
z',8.896e-07,1.07e-07,23786924.023583446,7.582971792884992,1.074499085092094e-31,1.0042047524225176e-24,40680708901499.51,2.641298822234849e-19,55.34545615572345
J,1.2549999999999998e-06,2.9e-07,21287531.381254785,6.786196897260328,9.615969248629934e-32,3.315851465044805e-25,55945825495495.5,1.718800136286159e-19,55.811936551380725
H,1.6499999999999999e-06,2.8e-07,6580927.422515451,2.0979167784149766,2.972725892401897e-32,1.0616878187149633e-25,31056231543897.305,9.572075376241365e-20,56.44748472537717
Ks,2.1549999999999997e-06,1.55e-07,1098175.9980445956,0.3500846771335079,4.960662858296095e-33,3.20042765051361e-26,10018896751980.574,4.9513064972103367e-20,57.16320047253365
